23:18:41: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 48] Logger initialized
23:18:41: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:42: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:42: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:43: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:43: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:44: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:44: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:45: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:45: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:46: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:46: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:47: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:48: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:48: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:49: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:49: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:50: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:50: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:51: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:51: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:52: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:52: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:53: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:53: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:54: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:54: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:55: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:55: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:56: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:56: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
23:18:57: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
