22:12:55: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 48] Logger initialized
22:12:55: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:12:55: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:12:56: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:12:56: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:12:57: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:12:57: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:12:58: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:12:58: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:12:59: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:12:59: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:00: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:00: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:01: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:01: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:02: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:02: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:03: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:03: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:04: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:04: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:05: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:05: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:06: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:06: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:07: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:07: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:08: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:08: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:09: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:09: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
22:13:10: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] Decision: CHANGING_YAW by 10
