12:18:37: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 11.067 m/s
12:18:37: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 11.067 m/s
12:18:37: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 45.0 degrees
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 11.625 m/s
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 11.625 m/s
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 90.0 degrees
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 12.118 m/s
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 12.118 m/s
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 45.0 degrees
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 12.556 m/s
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 12.556 m/s
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 90.0 degrees
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 12.947 m/s
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 12.947 m/s
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 135.0 degrees
12:18:40: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 13.300 m/s
12:18:40: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 13.300 m/s
12:18:40: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -26.565051177077976 degrees
12:18:40: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 13.619 m/s
12:18:40: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 13.619 m/s
12:18:40: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -45.0 degrees
12:18:41: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 13.909 m/s
12:18:41: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 13.909 m/s
12:18:41: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -90.0 degrees
12:18:41: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 14.174 m/s
12:18:41: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 14.174 m/s
12:18:41: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -45.0 degrees
12:18:42: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 14.417 m/s
12:18:42: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 14.417 m/s
12:18:42: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -90.0 degrees
