14:13:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 47] Logger initialized
14:13:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 4.000 m/s
14:13:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 4.000 m/s
14:13:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 81] Decision: CHANGE_ALTITUDE by 1
14:13:21: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 3.000 m/s
14:13:21: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 3.000 m/s
14:13:21: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 81] Decision: CHANGE_ALTITUDE by -1
14:13:21: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 2.000 m/s
14:13:21: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 2.000 m/s
14:13:21: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 121] Decision: HOLDING_YAW (within tolerance)
14:13:22: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 1.500 m/s
14:13:22: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 1.500 m/s
14:13:22: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 121] Decision: HOLDING_YAW (within tolerance)
14:13:22: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 1.200 m/s
14:13:22: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 1.200 m/s
14:13:22: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 121] Decision: HOLDING_YAW (within tolerance)
14:13:23: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 1.000 m/s
14:13:23: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 1.000 m/s
14:13:23: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 121] Decision: HOLDING_YAW (within tolerance)
14:13:23: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 0.857 m/s
14:13:23: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 0.857 m/s
14:13:23: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 121] Decision: HOLDING_YAW (within tolerance)
14:13:24: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 3.250 m/s
14:13:24: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 3.250 m/s
14:13:24: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 63.434948822922024 degrees
14:13:24: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 5.111 m/s
14:13:24: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 5.111 m/s
14:13:24: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 90.0 degrees
14:13:25: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 6.600 m/s
14:13:25: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 6.600 m/s
14:13:25: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 116.56505117707798 degrees
14:13:25: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 7.818 m/s
14:13:25: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 7.818 m/s
14:13:25: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 45.0 degrees
14:13:26: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 8.833 m/s
14:13:26: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 8.833 m/s
14:13:26: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 63.434948822922024 degrees
14:13:26: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 9.692 m/s
14:13:26: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 9.692 m/s
14:13:26: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 90.0 degrees
14:13:27: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 10.429 m/s
14:13:27: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 10.429 m/s
14:13:27: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 26.565051177077976 degrees
14:13:27: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 11.067 m/s
14:13:27: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 11.067 m/s
14:13:27: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 45.0 degrees
14:13:28: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 11.625 m/s
14:13:28: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 11.625 m/s
14:13:28: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 90.0 degrees
14:13:28: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 12.118 m/s
14:13:28: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 12.118 m/s
14:13:28: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 45.0 degrees
14:13:29: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 12.556 m/s
14:13:29: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 12.556 m/s
14:13:29: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 90.0 degrees
14:13:29: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 12.947 m/s
14:13:29: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 12.947 m/s
14:13:29: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by 135.0 degrees
14:13:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 13.300 m/s
14:13:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 13.300 m/s
14:13:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by -26.565051177077976 degrees
14:13:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 13.619 m/s
14:13:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 75] Average velocity (from worker): 13.619 m/s
14:13:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] Decision: CHANGING_YAW by -45.0 degrees
14:13:31: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 82] Average velocity so far: 13.909 m/s
