14:13:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
14:13:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 137] Connected!
14:13:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGE_ALTITUDE: 1
14:13:21: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGE_ALTITUDE: -1
14:13:21: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: HOLDING_YAW
14:13:22: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: HOLDING_YAW
14:13:22: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: HOLDING_YAW
14:13:23: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: HOLDING_YAW
14:13:23: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: HOLDING_YAW
14:13:24: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 63.434948822922024
14:13:24: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 90.0
14:13:25: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 116.56505117707798
14:13:25: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 45.0
14:13:26: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 63.434948822922024
14:13:26: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 90.0
14:13:27: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 26.565051177077976
14:13:27: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 45.0
14:13:28: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 90.0
14:13:28: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 45.0
14:13:29: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 90.0
14:13:29: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: 135.0
14:13:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -26.565051177077976
14:13:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -45.0
14:13:31: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -90.0
14:13:31: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -45.0
14:13:32: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -90.0
14:13:32: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -135.0
14:13:33: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -63.43494882292201
14:13:33: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -90.0
14:13:34: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -116.56505117707798
14:13:34: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -45.0
14:13:35: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -63.43494882292201
14:13:35: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Worker output: CHANGING_YAW: -90.0
