23:34:06: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 48] Logger initialized
23:34:06: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 71] Decision: CHANGE_ALTITUDE by 1
23:34:06: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 82] Decision: CHANGE_ALTITUDE by -1
23:34:07: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:07: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:08: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:08: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:09: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:09: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:10: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:10: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:11: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:11: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:12: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:12: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:13: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:13: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:14: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:14: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:15: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:15: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:16: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:16: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:17: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:17: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:18: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:18: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:19: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:19: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
23:34:21: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Decision: CHANGING_YAW by 10
