16:49:48: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 44] Logger initialized
16:49:48: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Drone Connected!
16:49:49: [DEBUG] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Heartbeat OK
16:49:50: [DEBUG] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Heartbeat OK
16:49:51: [DEBUG] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Heartbeat OK
16:49:52: [DEBUG] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Heartbeat OK
16:49:57: [WARNING] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 69] Drone disconnected
16:50:01: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Drone Connected!
16:50:02: [DEBUG] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Heartbeat OK
16:50:03: [DEBUG] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Heartbeat OK
16:50:04: [DEBUG] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Heartbeat OK
16:50:05: [DEBUG] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Heartbeat OK
16:50:07: [DEBUG] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Heartbeat OK
16:50:09: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 65] Heartbeat receiver worker shutting down.
